课题	负责人	单位	金额	类型	学科代码	开始时间	具体链接
基于代谢组学的制何首乌防治糖尿病脑病的药效成分和作用机制的研究	李兴	贵州中医药大学	34.0万元	地区科学基金项目	H2903医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=494e8e41980b
大规模非靶向LC-MS代谢组学分析新策略研究	赵欣捷	中国科学院大连化学物理研究所	63.0万元	面上项目	B040106化学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=f5388e556951
组合应用NMR代谢组学和16SrDNA测序技术研究肠道菌群调控“肠-脑”代谢稳态参与糖尿病脑病发生发展的时空网络机制	高红昌	温州医科大学	65.0万元	面上项目	B040304化学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=c3da895646e6
基于“中医方证代谢组学”结合“PK-PD建模”策略的补中益气汤治疗脾气虚证的体内药效物质研究	姚志红	暨南大学	54.0万元	面上项目	H2803医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=4702898230b2
功能代谢组学新方法及其在前列腺癌研究中的应用	许国旺	中国科学院大连化学物理研究所	300.0万元	重点项目	B040106化学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=8f88902540f8
基于药物相互作用及靶向代谢组学的丹酚酸与丹参酮组分配伍对糖尿病肾病的协同增效机制研究	宿树兰	南京中医药大学	55.0万元	面上项目	H2903医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=776690313392
发展基于离子淌度质谱的多维高分辨代谢组学技术	朱正江	中国科学院上海有机化学研究所	60.0万元	面上项目	C210302生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=4be991012983
基于内质网应激-自噬信号通路和代谢组学相结合的人参皂苷Rb1和Rh2抗非小细胞肺癌机制研究	赵敏	厦门大学	21.0万元	青年科学基金项目	H3110医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=86bd88636551
基于代谢组学与基因组学的吉非替尼个体化用药研究	王雪丁	中山大学	54.0万元	面上项目	H3111医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=76df8e911408
椰肉代谢组的生化与遗传基础解析及营养品质优良基因发掘与应用	王守创	海南大学	44.0万元	地区科学基金项目	C210302生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=ca3d90450987
根瘤菌三型分泌系统介导的共生宿主根系代谢组学及其根际微生物群落响应	丑敏霞	西北农林科技大学	62.0万元	面上项目	D070104地球科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=df45905333eb
基于影像学及代谢组学评估冠心病进展的多模态研究	顾慧	山东大学	21.0万元	青年科学基金项目	H1804医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=4b5b8e2493a3
基于质谱空间代谢组学方法研究帕金森病小鼠脑内神经细胞损伤的动态代谢特征	栾合密	南方科技大学	26.0万元	青年科学基金项目	B040303化学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=5ecc8e34082e
基于代谢组学挖掘黄色粘球菌亲缘识别过程中诱导的次生代谢产物	吴长生	山东大学	26.0万元	青年科学基金项目	C010204生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=8d298e64237d
基于代谢组学和表观遗传学研究生命早期不同阶段膳食结构干预对寿命的作用和机制	牛玉存	哈尔滨医科大学	55.0万元	面上项目	H2603医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=0fc18e669066
基于色氨酸代谢组的分析研究自闭症发生发展的作用机理	吴俊芳	中国科学院武汉物理与数学研究所	56.0万元	面上项目	C210302生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=ab2b8e846246
基于代谢组学筛选的溶血磷脂酰甘油通过影响调节性T细胞在哮喘嗜酸粒细胞炎症中的作用及机制研究	常春	北京大学	55.0万元	面上项目	H0107医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=758c8e927174
结直肠早癌及癌前病变的血浆代谢组学研究	杭栋	南京医科大学	55.0万元	面上项目	H2610医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=27e48854e3ba
基于队列和代谢组学的无症状颅内动脉粥样硬化新型生物学标志物及预警模型研究	孙钦建	山东大学	55.0万元	面上项目	H0906医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=f7da902926e8
过敏性鼻炎患者代谢组学研究	孙劲旅	中国医学科学院北京协和医院	55.0万元	面上项目	H1007医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=f7c4902998aa
基于代谢组学的蒙古族7-8岁儿童蒙医体质与肠道菌群的相关性研究	赵宏林	内蒙古民族大学	35.0万元	地区科学基金项目	H2703医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=d7e9903693fe
基于“微透析-多维动态谱效-代谢组学”的气血双补方治疗慢性心力衰竭炮制增效机理研究	陈林伟	南京中医药大学	20.0万元	青年科学基金项目	H2805医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=63ae888e490e
基于“生化分析-代谢组学-药代动力学”整合体系的稀土纳米造影剂生物安全性评价研究	徐晨	长春工业大学	25.0万元	青年科学基金项目	B070105化学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=69a38e0456e7
基于代谢组学-转录组学联用技术探讨小花清风藤抗脂肪肝损伤物质基础与作用机制	李志峰	江西中医药大学	34.0万元	地区科学基金项目	H2803医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=04b08e4156dd
代谢组学联合图像识别探讨慢性心衰寒热证尿液宏微观辨证的人工智能定量方法学研究	赵慧辉	北京中医药大学	55.0万元	面上项目	H2903医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=37668e578436
基于药材共存微生物与代谢组变化研究陈皮“陈久者良”科学内涵	刘友平	成都中医药大学	54.0万元	面上项目	H2802医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=69b388446123
基于肠道菌群及代谢组学的三七-红花有效组分配伍抗缺血性心力衰竭作用机制研究	郭晓宇	北京大学	55.0万元	面上项目	H2903医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=7a66885692c1
基于药物代谢组学和蛋白质组学的防己治疗类风湿关节炎体内药效物质和作用机制研究	陈金凤	郑州大学	20.0万元	青年科学基金项目	H2803医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=e628888824c8
碘-131早期干预小型猪甲状腺功能亢进症合并肝衰竭模型的代谢组学研究	张青	南昌大学	34.0万元	地区科学基金项目	H1806医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=de34903e90c5
马尾松挥发性代谢组分对干旱逆境的响应机制	全文选	贵州师范大学	39.0万元	地区科学基金项目	C160502生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=ce0f909600da
基于整合药理学和方证代谢组学对肝复乐抗非酒精性肝病的药效机制研究	潘宇	广西壮族自治区药用植物园	34.0万元	地区科学基金项目	H2901医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=e2d29096e7a3
基于血清代谢组学的特发性肺纤维化肺肾气虚证物质基础及益气活血化痰方作用机制研究	余学庆	河南中医药大学	55.0万元	面上项目	H2708医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=383189e8356c
基于代谢组学探究苜蓿连作障碍的机制	李永刚	东北农业大学	58.0万元	面上项目	C161503生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=edc89003e45f
基于代谢组学和质谱成像研究色氨酸分解代谢在急性肾损伤中的作用机制	李晓娜	北京大学	24.0万元	青年科学基金项目	C210302生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=3c4d88e8531a
整合PK/PD-代谢组学-网络分析的双参平肺方治疗肺纤维化物质基础及机制研究	陈叶青	南京中医药大学	21.0万元	青年科学基金项目	H2705医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=0bd2888439eb
细辛-干姜药对温肺化饮干预COPD-MH作用机理的代谢组学与转录组学整合研究	汪琼	湖北中医药大学	20.0万元	青年科学基金项目	H2807医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=6c1988982408
药物过敏性猝死代谢组学及死后法医学诊断生物标记物研究	高彩荣	山西医科大学	55.0万元	面上项目	H2301医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=a4778956835e
基于靶向、非靶向代谢组学与转录组学探究桔梗对盐胁迫的响应及对桔梗皂苷D的分子调控机制	贾鑫	内蒙古医科大学	34.0万元	地区科学基金项目	H2801医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=76f68e450016
基于网络药理学及代谢组学技术的蒙药加味塔布森-2“肾主骨”辨证施治的药效物质基础及作用机制研究	董馨	内蒙古医科大学	34.0万元	地区科学基金项目	H2818医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=a4f68e492016
靶标代谢组经时谱效关系探究芪玉三龙汤抑制非小细胞肺癌药效物质基础	吴欢	安徽中医药大学	21.0万元	青年科学基金项目	H2803医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=6cab8e633770
肠道微生态及其介导的磷酸戊糖/糖醛酸途径代谢组学改变在儿童氟斑牙及骨代谢中的作用	巴月	郑州大学	55.0万元	面上项目	H2401医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=82a78e9683b7
基于功能代谢组学探讨薏苡附子散治疗类风湿性关节炎和慢性心力衰竭“异病同治”的生物学机制	王玉明	天津中医药大学	21.0万元	青年科学基金项目	H2901医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=4ef88824e2f1
基于代谢组学的萝卜硫素治疗孤独症谱系障碍疗效相关氧化应激标记物研究	欧建君	中南大学	55.0万元	面上项目	H0923医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=67388e66792b
基于靶向代谢组学、质谱成像技术的益气活血方“脑心同治”精准代谢网络构建与分析	吴宏伟	中国中医科学院中药研究所	55.0万元	面上项目	H2903医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=a0b08e852138
基于代谢组学和宏蛋白质组学解析溃疡性结肠炎肠道菌群代谢变化及机制	严志祥	中山大学	24.0万元	青年科学基金项目	C010402生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=51d891229674
基于代谢组学的原发性青光眼生物标记物研究	陈琴	南京医科大学	55.0万元	面上项目	H1204医学科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=29398e1150a8
基于肠道菌群和代谢组学关联研究高脂诱导AS西藏小型猪模型的慢性炎症机制	陈民利	浙江中医药大学	58.0万元	面上项目	C041103生命科学	202001	https://www.medsci.cn/sci/nsfc_show.do?id=38ae8e120090
基于细胞药代动力学与代谢组学的茵陈退黄机制与药效物质基础研究	马国	复旦大学	25.0万元	面上项目	H2816医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=ac74e998728f
基于转录组及代谢组学的斑蝥素生物合成途径研究	吕淑敏	西北农林科技大学	57.0万元	面上项目	C040506生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=510fe9994464
基于信息熵的网络分析新方法及其在肝细胞肝癌代谢组学研究中的应用	董继扬	厦门大学	57.0万元	面上项目	H1811医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=44218028814a
基于11.7T核磁共振波谱的骨髓脂肪酸代谢组学对骨质疏松发生机制的研究	汤光宇	同济大学	58.0万元	面上项目	H1801医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=57eb820e09de
基于代谢组学和宏基因组学技术的布-加综合征新型诊断标志物 及发病机制的研究	孙玉岭	郑州大学	57.0万元	面上项目	H0323医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=dda182083012
基于代谢组和蛋白组学对大鼠射精机理脑神经物质基础的研究	覃喜军	广西中医药大学	35.0万元	地区科学基金项目	H0415医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=2fa4e919411f
转录组学和代谢组学关联解析马铃薯块茎类黄酮生物合成的调控机制	刘玉汇	甘肃农业大学	41.0万元	地区科学基金项目	C130407生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=b501e92407fd
应用时间系列代谢组学研究肝细胞肝癌患者手术前后血清代谢物变化及潜在标志物识别	黎远冬	广西壮族自治区肿瘤防治研究所	34.8万元	地区科学基金项目	H1608医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=28e5e9279064
基于1H-NMR 代谢组学技术探寻“三部推拿法”调气理论干预失眠的机制研究	周运峰	河南中医药大学	52.0万元	面上项目	H2719医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=84ba8154633e
基于代谢组学的手性新烟碱类农药呋虫胺在大鼠体内立体行为与毒理研究	陈增龙	中国科学院动物研究所	25.0万元	青年科学基金项目	C140501生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=409d818996fb
基于三维培养模型的肿瘤细胞代谢组AFAI-MS分析新方法研究	张瑞萍	中国医学科学院药物研究所	64.0万元	面上项目	B040303化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=65eee96988a6
代谢组学策略探究PM2.5关键毒作用组分对抑癌基因P53依赖的代谢毒性及其分子机制	宋肖垚	中国科学院大连化学物理研究所	27.5万元	青年科学基金项目	B0603化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=c81be93810b9
基于PK-PD-代谢组学实时动态偶联的淫羊藿-川芎药对治疗骨关节炎的配伍机制研究	尹华	浙江中医药大学	57.0万元	面上项目	H2803医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=e8fe806e81d4
基于1H-NMR代谢组学和转录组学的花椒种质资源研究	王冬梅	西北农林科技大学	60.0万元	面上项目	C161001生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=23a5808209d1
基于“肠道菌群-蛋白组学-代谢组学”关联性的黑灵芝多糖对丙烯酰胺致肝脏损伤的保护机理	陈奕	南昌大学	42.0万元	地区科学基金项目	B060304化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=002f80916590
基于LC-MS代谢组学技术探讨益气中药（人参、黄芪）对心气虚大鼠缺血心肌能量代谢障碍的调控机制	苗兰	中国中医科学院西苑医院	21.0万元	青年科学基金项目	H2809医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=585982422821
基于胸水中微颗粒代谢组检测技术鉴别良、恶性胸腔积液的新方法研究	罗萍	华中科技大学	22.0万元	青年科学基金项目	H2006医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=1fe4824e837e
基于化学物质组学及代谢组学整合肠道菌群的蒲黄“生行熟止”效应物质基础及作用机制研究	罗兰	广东药科大学	21.0万元	青年科学基金项目	H2805医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=5ced824801ca
基于基因探矿和代谢组学方法从海洋链霉菌中定向挖掘阿卡他定类活性先导化合物	刘海利	中国科学院上海生命科学研究院	62.0万元	面上项目	D0604地球科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=903882541073
基于代谢组学技术集成的九州虫草种质资源评价及虫草素生物合成的转录组、蛋白质组学研究	凌建亚	山东大学	64.0万元	面上项目	B070404化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=8c6e8256104b
基于固相微萃取技术和代谢组学方法研究有机污染物在植物体内的代谢	徐剑桥	中山大学	27.5万元	青年科学基金项目	B060101化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=7643e907477b
基于代谢组学方法发现大叶藤黄抗血管生成活性成分的研究	黎平	华南农业大学	22.0万元	青年科学基金项目	C020604生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=f1dfe91700a7
基于代谢组学的海州常山抗人白血病K562细胞增殖的药效物质基础及机制研究	李林珍	贵州医科大学	35.0万元	地区科学基金项目	H2803医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=b5c2e9270883
基于“血中移行成分-代谢组学”研究辣木叶改善II型糖尿病的物质基础及其作用机制	汪芳	南京财经大学	23.0万元	青年科学基金项目	C020604生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=55abe928959f
基于代谢组学的RA肾损害早期预警生物标志物发现技术及在中药防治RA肾损害中的应用	宋丽丽	天津中医药大学	21.0万元	青年科学基金项目	H2903医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=a05d805e05ec
基于炎症-免疫多靶标和代谢组学的穿山龙抗类风湿性关节炎主效成分群发现及作用机制研究	郭龙	河北中医学院	21.0万元	青年科学基金项目	H2803医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=75868250e3bc
尘螨过敏儿童治疗的代谢组学与免疫调节协同机制研究	孙宝清	广州医科大学	57.0万元	面上项目	H2006医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=e9f0821130a4
基于代谢组学的知母皂苷抗抑郁作用与肠道菌群关系研究	刘放	中国科学院上海药物研究所	20.0万元	青年科学基金项目	H2816医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=589381163294
基于肠道菌群和代谢组学阐释麻黄多糖防治PM2.5诱导加重哮喘的作用机制	梁军	黑龙江中医药大学	21.0万元	青年科学基金项目	H2812医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=ca9a8120093c
基于整合AUC与代谢组学的栀子-连翘药对配伍协同增效机理研究	周伟	中国药科大学	23.0万元	青年科学基金项目	H2803医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=60a4812838e7
基于稳定同位素示踪的“拟”靶向代谢组学方法研究发菜响应高盐胁迫的代谢调控机制	赵燕妮	陕西科技大学	25.0万元	青年科学基金项目	C030301生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=bcbf81333e7b
基于代谢组学和转录组学的功能真菌C39发酵提高重楼药材甾体皂苷含量的生物转化机理研究	都晓伟	黑龙江中医药大学	56.0万元	面上项目	H2801医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=9a2d802e728d
基于细胞代谢组学的农产品中单端孢霉烯族类毒素联合毒性评价及机制研究	纪剑	江南大学	25.0万元	青年科学基金项目	C200703生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=6c2780425989
基于代谢组学的清肠化湿方上调真杆菌调整肠道菌群影响NLRP6炎症小体治疗溃疡性结肠炎机制研究	朱磊	南京中医药大学	57.0万元	面上项目	H2708医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=1c8981532852
纳米农药环境生物效应的代谢组学与宏基因组学研究	赵丽娟	南京大学	65.0万元	面上项目	B060106化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=45e68266e91a
基于代谢组学及新生树鼩HB模型的丁香苦苷抗HBV作用机制研究	张喜武	黑龙江中医药大学	56.0万元	面上项目	H2902医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=84cb82e3432a
代谢组学非依赖型（DIA）液质数据处理方法与软件开发	卢红梅	中南大学	66.0万元	面上项目	B030804化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=cad8810e21f7
“分子-细胞-动物”三维活性评价方法结合药物代谢组学技术研究车前子治疗痛风的药效物质基础及作用机制	刘舒	中国科学院长春应用化学研究所	60.0万元	面上项目	H2803医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=c59b811245f5
基于队列和代谢组学的职业性噪声暴露生物标志物研究	余善法	河南省职业病防治研究院	58.0万元	面上项目	H2402医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=d3eb80649464
基于肠道微生态和代谢组学的丹参清心除烦功效物质基础与生物学机制研究	蔡红蝶	浙江医药高等专科学校	23.0万元	青年科学基金项目	H2803医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=4b82e9435729
利用蛋白质组学和代谢组学策略分析骨碎补幼孢子体叶响应高浓度钙离子胁迫的分子机制	檀龙颜	贵阳中医学院	39.0万元	地区科学基金项目	C020406生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=1228e9193027
基于代谢组学与琥珀酸/HIF-1α/VEGF炎症信号通路的雷公藤煨制“除剧毒、强疗效”科学性研究	刘建群	江西中医药大学	35.0万元	地区科学基金项目	H2803医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=706fe925045c
基于UPLC-MS/MS联合MRM的靶向与非靶向代谢组学方法研究蛇伤中毒标志物	廖明	广西医科大学	35.0万元	地区科学基金项目	H1511医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=c282e9256532
基于代谢组学的土壤无机元素影响红芪质量的机理研究	李成义	甘肃中医药大学	35.0万元	地区科学基金项目	H2802医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=5200e927744a
基于代谢组学的得克隆602的毒理学研究	陶吴群	中国科学院生态环境研究中心	20.0万元	青年科学基金项目	B060301化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=624de9310985
基于代谢组学的食用植物油真实性鉴别方法研究	张良晓	中国农业科学院油料作物研究所	60.0万元	面上项目	C200701生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=f822e971717c
基于质谱代谢组学的三氯卡班及其羟基代谢物的肝脏毒性机制研究	张宏娜	香港浸会大学深圳研究院	28.0万元	青年科学基金项目	B060101化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=07eee9897670
基于代谢组学分析的系统评价聚乙二醇生物相容性的研究	苏越	上海交通大学	65.0万元	面上项目	B050202化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=7058821163e8
手性多氯联苯在蛋鸡体内的迁移转化行为及代谢组研究	邱静	中国农业科学院农业质量标准与检测技术研究所	65.0万元	面上项目	B060105化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=db6f8230382d
基于代谢组的关联分析发掘油菜菌核病抗性相关基因资源	张园园	中国农业科学院油料作物研究所	23.0万元	青年科学基金项目	C140106生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=87bee8819102
基于功能代谢组学黄连解毒汤抗特应性皮炎原理研究	徐煜彬	台州学院	21.0万元	青年科学基金项目	H2803医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=2093e9057850
白菜类蔬菜非靶向代谢组学研究及全基因组关联分析	徐东辉	中国农业科学院蔬菜花卉研究所	60.0万元	面上项目	C150202生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=39b1828489bd
基于代谢组学的黄连吴茱萸药对配伍药性变化机理研究	李文	兰州大学	21.0万元	青年科学基金项目	H2807医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=d8d38125160d
基于代谢组学研究的东南景天锌超积累相关代谢通路分析	杨肖娥	浙江大学	60.0万元	面上项目	C150702生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=c23a81658991
基于网络分析的代谢组学新方法及在结直肠癌研究中的应用	邓伶莉	东华理工大学	21.0万元	青年科学基金项目	H1811医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=a1718185597c
基于代谢组学的毒代动力学模型对食品中多种多环芳烃联合暴露毒性作用研究	毛伟峰	国家食品安全风险评估中心	21.0万元	青年科学基金项目	H2604医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=b54582435059
基于非靶向代谢组学的中国高血压人群脑卒中发病研究	郭潇繁	中国医科大学	21.0万元	青年科学基金项目	H0214医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=cf2a825024c1
基于代谢组学技术的“温经活血”外治法早期干预膝骨关节炎机制研究 	茆军	南京中医药大学	59.0万元	面上项目	H2710医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=59cce9965331
基于微液流表面采样与组织印记技术的空间分辨前处理平台及其代谢组质谱成像应用研究	吴倩	中南大学	25.0万元	青年科学基金项目	B040101化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=68bf80184595
基于谱效相关及代谢组学解析陈皮在六君子汤中“要补气，先理气”的药效物质基础与组方原理	孙爽	黑龙江中医药大学	21.0万元	青年科学基金项目	H2704医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=2d26e9348550
基于中医方证代谢组学的关黄柏质量标志物发现	王喜军	黑龙江中医药大学	294.0万元	重点项目	H28医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=e7c3e89403ea
基于代谢组学的艾滋病抗病毒免疫重建的生物标志物及预测模型研究	李俊南	首都医科大学	21.0万元	青年科学基金项目	H2609医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=756be902562d
靶向肠道菌群的丹参乙酸镁抗糖尿病肾病机制和代谢组学研究	刘佳	中国科学院上海药物研究所	21.0万元	青年科学基金项目	H3109医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=17fbe9673655
基于"血清药化-药代动力学-代谢组学”的柴胡-白芍药对抗抑郁的药效物质及机制研究	张洪财	黑龙江中医药大学	21.0万元	青年科学基金项目	H2803医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=4dfbe9897306
基于房颤代谢组学时序数据的进化循环神经网络及应用研究	张海玉	哈尔滨医科大学	21.0万元	青年科学基金项目	H2611医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=d7fae990147c
基于代谢组学益气通窍饮对慢性鼻-鼻窦炎黏膜重塑影响的动态研究	周凌	黑龙江中医药大学	54.0万元	面上项目	H2714医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=d239815651c1
