课题名称	批准号	学科分类	项目负责人	职称	单位	金额	项目类别	研究期限	中文主题词	英文主题词	中文摘要	英文摘要	
微生物代谢流量调控	31925001	微生物代谢 ( C010204 )	杨琛		中国科学院上海生命科学研究院	400.00万元	国家杰出青年科学基金	2020 年 01 月 01 日 至 2024 年 12 月 01 日					
基于导电聚合物水凝胶阳极微生物燃料电池的微生物/电极界面反应机制研究	21878060	 (  )	陈野		哈尔滨工程大学	66.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
有机污染物降解微生物组的功能解析和微生物菌群3D打印技术	31861133002	 (  )	刘双江		中国科学院微生物研究所	500.00万元	国际(地区)合作与交流项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
Bt毒素介导的金属离子在土壤-微生物界面迁移行为及微生物菌群响应	41877491	 ( D071301 )	梁运姗		湖南农业大学	61.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
盐碱土中施用微生物菌肥对紫花苜蓿根际微生物演替规律及功能的影响	31800100	陆生环境微生物学 ( C010501 )	白亚妮		陕西省生物农业研究所	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
食品微生物功能调控与优化	31722041	食品微生物学基础 ( C200301 )	陈海琴	教授	江南大学	130.00万元	优秀青年科学基金项目	2018 年 01 月 01 日 至 2020 年 12 月 31 日	多不饱和脂肪酸；高山被孢霉；遗传操作系统；代谢流定向调控；发酵策略	Polyunsaturated fatty acids;Mortierella alpina;gene manipulation system;directional metabolic flux regulation;fermentation strategy	申请人研究方向为食品微生物功能发掘与利用，对多不饱和脂肪酸和乳糖酶的微生物制造进行了较系统、深入的研究。主持国家自然科学基金3项，2013年入选教育部新世纪优秀人才计划。发表第一或通讯作者SCI论文31篇，参编英文专著1部，研究成果获授权美国发明专利3项，获中国商业联合会科技进步一等奖等。.丝状真菌高山被孢霉合成多不饱和脂肪酸(PUFAs)能力非常强，申请人前期从影响该菌代谢性能的基因水平和宏观环境两方面入手，在分子水平解析了高山被孢霉中脂质合成全途径及其调控规律。本项目将通过CRISPR技术构建多基因表达系统，实现代谢流定向改造和调控，在获得高产ω3 PUFAs重组菌基础上应用组学手段进行发酵策略优化，使其趋于理性定向的合成某种特定PUFAs。本项目的顺利实施将建立一条从产PUFAs微生物组学研究、机制解析到工业菌株构建与应用的技术链，为实现功能性多不饱和脂肪酸产业化开辟道路。	"The research directions of the applicant include function exploration and application of food microbiology and constructing microbial factory of polyunsaturated fatty acids (PUFAs) and lactase. The applicant has already guided three programs of National Natural Science Foundation of China, and was elected in New Century Talent Supporting Project by education ministry in 2013. The applicant possessed thirty-one published SCI papers as first or correspondence author and was invited as writers of one English monograph about PUFAs. The corresponding research achievements was entitled for three American patents, and awarded as first prize in China General Chamber of Commerce Science and Technology Progress Award, etc..Polyunsaturated fatty acids (PUFAs) in lipids play especially important roles in human health. Filamentous fungus, Mortierella alpina, has high capacity of accumulating PUFAs and possesses safety evaluation among PUFAs-producing fungi. Our group has token M. alpina as research model and revealed the mechanism of de novo lipids synthesis and corresponding transcriptional regulation mode from gene level and environmental conditions. The project aims at construction of multi-gene expression system by CRISPR technology, and finally obtain a high ω3 PUFAs producing cell factory through improving total lipids and adjusting ratio of ω6/ω3 PUFAs with omics tools as well as fermentation optimization strategy, establishing an oleaginous filamentous fungus capable of synthesizing specific PUFAs..The project will achieve a full set of technical chain from microbiome studies, mechanism analysis, to construction and application of industrial strains and offer a potential way for PUFAs’ industrial production."	
极端地质环境微生物发展战略研究	L1824022	 (  )	殷鸿福		中国地质大学（武汉）	50.00万元	应急管理项目	2019 年 01 月 01 日 至 2020 年 12 月 31 日					
口腔常用金属材料的微生物腐蚀行为研究	51871050	金属常温腐蚀与防护 ( E011101 )	徐大可		东北大学	61.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
微流控微生物组分析	21822408	微纳流控 ( B040105 )	杜文斌		中国科学院微生物研究所	130.00万元	优秀青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
微生物细胞反应器构建与优化	21922812	合成生物技术与生物系统工程 ( B080701 )	周雍进		中国科学院大连化学物理研究所	120.00万元	优秀青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
人体微生物组诊断方法学	81925026	检验医学 ( H20 )	周宏伟		南方医科大学	400.00万元	国家杰出青年科学基金	2020 年 01 月 01 日 至 2024 年 12 月 01 日					
干法厌氧发酵微生物“食物链”机制研究	21978289	生物质资源高效转化 ( B081103 )	孔晓英		中国科学院广州能源研究所	66.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
药用天然产物的微生物合成	82011530137	中药资源 ( H2801 )	郭娟		中国中医科学院中药研究所	40.00万元	国际(地区)合作与交流项目	2020 年 07 月 01 日 至 2023 年 06 月 01 日					
海水提铀吸附剂海洋微生物污损动态及抗微生物污损吸附剂设计与性能研究	41966009	海洋能源与资源 ( D0613 )	袁益辉		海南大学	43.00万元	地区科学基金项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
泡菜微生物中细菌素的高通量挖掘及其对泡菜发酵微生物演替及品质的影响	31972049	乳酸菌与益生菌 ( C200302 )	钟瑾		中国科学院微生物研究所	58.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
汞的微生物甲基化分子机制研究	21777179	污染生态化学与生态风险 ( B060305 )	何滨	研究员	中国科学院生态环境研究中心	64.00万元	面上项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	汞；甲基化；分子机制；微生物	mercury;methylation;molecular mechanisms;microorganisms	微生物介导的汞的甲基化反应是环境中甲基汞的主要来源，也是汞通过食物链发生生物富集和生物放大而对人类产生更大毒性的原因之一。研究表明，多种硫酸盐还原菌、产甲烷菌和铁还原菌具有汞甲基化的能力。菌落的种类、菌种的抗性基因、甲基化基因、甲基供体、甲基载体和甲基转移酶、催化酶等均能影响汞的微生物可利用性和甲基化、去甲基化效率，同时也表明甲基汞产生于多种代谢途径，除了目前研究较多的经由乙酰辅酶A代谢途径的甲基化过程外，其他的甲基化过程和机制尚不清楚。利用蛋白质组学技术，从分子水平研究汞的微生物甲基化和去甲基化的生物影响因素，筛选潜在的甲基供体、甲基载体和甲基转移酶、催化酶等生物分子，探讨微生物介导的汞甲基化和去甲基化的反应通路、反应途径和反应机理，可帮助阻断汞的甲基化路径，有助于降低或抑制汞的甲基化效率，对于降低汞的富集效应和生物毒性具有重要意义。	"Methylation of mercury by microorganisms is the main source of methylmercury in environment. It’s also one of the reasons that results in bioaccumulation and bioamplification of mercury along food chain, which causes more toxicity to human beings. Many species of sulfate reducing bacteria (SRB), methanogens and iron reducing bacteria (IRB) have the ability to methylate inorganic mercury. Several factors, such as bacteria colonies, resistance genes, mercury-methylation genes, methyl donors, methyl carriers, and methyl transfer enzymes, catalyzing enzymes, can affect the methylation of inorganic mercury and demethylation of methylmercury. These affections indicate that, besides acetylcoenzyme A, methylation of mercury can occur through different pathways. But the methylation mechanisms are unknown. Investigating the affecting factors from molecular level using proteomic strategies, screening the methyl donors, methyl carriers, methyl transfer enzymes and catalyzing enzymes, probing the pathway and mechanism of methylation and demethylation can contribute to block the methylation pathway, disrupt or inhibit mercury methylation and decrease the bioaccumulation and biotoxicity of mercury to organisms."	
原油微生物群落及其功能初步研究	31770120	陆生环境微生物学 ( C010501 )	吴晓磊	教授	北京大学	60.00万元	面上项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	陆生微生物群落结构、功能与演替；微生物群落	"Terrestrial microbial community, structure, function and evolution;Microbial community"	近年来的研究表明原油中存在微生物，其群落组成与其他环境的不同，且可被用作石油微生物技术开发和应用的种子库（Seedbank），但相关研究才刚刚起步。为此，本申请项目计划从不同油藏采集未受地层水影响的原油样品，利用分子生物学等学科新研究技术和手段，研究不同原油中微生物群落的组成及其与油藏环境因子的关系；利用申请团队开发的新型微生物分离培养装置，从原油中分离培养微生物纯菌株、研究其功能特性，通过基因组测序与比较基因组学分析、初步研究原油中微生物的特征基因组成及其适应石油环境的分子机制；以含有微生物的原油为接种物，研究这些原油微生物对石油烃/石油的降解能力，及其群落组成的变化与影响因素，以图研究原油微生物作为石油微生物技术开发和应用的种子库的可行性与应用方式。通过这些研究，力图比较系统地了解原油微生物的存在特征、功能特性、利用方式等，为研究和开发微生物采油、石油污染治理等技术提供新的技术思路。	"Recently, microorganisms in crude oil were detected and proved, which were proposed as a seed bank for developing petroleum biotechnology. For better understanding the microorganisms in crude oil, their ecological and physiological characteristics and functional potentials, we plan to sample the crude oils from different oil reservoirs which are not disturbed by pore water in oil reservoir, and carry out the following experiments. First of all, we plan to investigate structure of microbial community in crude oil by using the “-omic” and molecular biological techniques. Then we plan to isolate microorganisms from the crude oil samples, study their functions, sequence their genomes and investigate the mechanisms of their adaptation to crude oil environments. We will also inoculate the crude samples as inoculum to check whether the crude oil microorganisms can degrade oil constituents, which will be used to evaluate the potentials of crude oil microorganisms as seed banks."	
深海微生物压力耐受极限的研究	41776173	生物海洋学与海洋生物资源 ( D0604 )	肖湘	教授	上海交通大学	69.00万元	面上项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	绝对嗜压菌；深渊；压力极限；离散剂	obligate piezophile;Hadal zoon;up-limit of pressure;chaotrope	"伴随着我国深海取样装备技术的发展，获取6,000 m以下至11,000 m的深渊样品成为可能，但分离超嗜压微生物仍然是国际性的难题。前期我们提出了微生物在不同极端环境下有共同适应机制的假说，据此我们利用带有离散剂且成分确定的培养基，富集培养出能在152 MPa下快速生长的嗜冷超嗜压微生物，打破了已知嗜冷嗜压微生物的最适（98 MPa）、最高（140 MPa）生长极限。本研究中力求实现三个目标：1. 超高压条件下加离散剂和未加离散剂培养的微生物代谢途径的差异；2. 分离嗜冷严格超嗜压菌；3. 进一步打破低温条件下微生物生长的高压生长边界(>152MPa)。"	"With the current development of sampling technology, more and more samples were collected from hadal zone which is at the water depth between 6,000 m to 11,000 m during Chinese cruises. However, it is still an apparent challenge to isolate hyperpiezophiles. Previously, we have proposed that “the common adaptation strategy allows microorganisms adapting to high-hydrostatic pressure similar as to other environmental stresses”. Following this approach，we recently have enriched the psychrophilic and hyperpiezophilic strains at 152 MPa with defined medium supplemented with chaotrope, which broken the up-limit of the optimal-growth-pressure (98 MPa)and the highest-growth-pressure (140 MPa)for piezophiles. In this project, we are achieving three goals: firstly, analyze the microbial metabolic pathways and identify the difference between the enrichment cultures with and without chaotrope under extreme high pressure; secondly, isolate the psychrophilic and hyperpiezophilic strains; thirdly, raise the pressure boundary for microbial growth(>152MPa)."	
基于分子生物学的杆菌类微生物抑藻机理研究	51879290	水环境污染与修复 ( E090301 )	刘伟		中山大学	60.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
野生金丝猴肠道微生物对环境适应性的研究	31872247	 (  )	郭松涛		西北大学	62.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
肠道免疫与微生物及疾病机制	81822021	 (  )	朱书		中国科学技术大学	130.00万元	优秀青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
根际微生物生态与土壤健康	41922053	环境生态学 ( D070401 )	韦中		南京农业大学	130.00万元	优秀青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
两栖动物肠道微生物群落演化机制研究	31901120	微生物群落生态学 ( C030503 )	赵娜		中国科学院微生物研究所	25.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
鱼类消化道微生物与宿主互作	31925038	水产动物营养与饲料学 ( C1904 )	周志刚		中国农业科学院饲料研究所	400.00万元	国家杰出青年科学基金	2020 年 01 月 01 日 至 2024 年 12 月 01 日					
微生物岩结构反演方法探索研究：以塔里木盆地下寒武统复杂成岩微生物岩为例	41972320	生物地质学 ( D0217 )	吴亚生		中国科学院地质与地球物理研究所	65.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
微生物泛基因组信息深度挖掘新方法研究	31771465	生物信息算法及工具 ( C060702 )	肖景发	研究员	中国科学院北京基因组研究所	56.00万元	面上项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	微生物；基因组大数据；数据可视化；数据挖掘；软件开发	microorganism;large data of genome;data visualization;data mining;software development	测序技术飞速发展使得微生物基因组测序数量迅猛增长，而高效、准确地解析大规模微生物基因组数据已经成为微生物学家研究工作中的一项瓶颈。泛基因组学概念的提出为生物学家从群体角度进行系统的比较基因组学分析开辟新思路，并被广泛应用于微生物基因组演化、适应性、致病性机制等研究中。目前尚缺乏能对多基因组进行深入比较分析，以揭示微生物基因组动学和可塑性等生物学问题的高效分析算法和流程。本项目致力于原核微生物多基因组信息挖掘的新算法研究，以泛基因组分析为核心，依照微生物基因组结构特征设计物种间直系同源基因鉴定的新算法，整合和开发微生物基因组分析工具，从群体角度发展基因组动力学演化机制深度解析算法和流程，最终立一套能进行大量原核微生物基因组信息挖掘以及数据可视化的新方法，为原核微生物比较基因组学分析提供高效准确的技术支持。	"The development of DNA sequencing makes many bacterial genomes are available. However, how to analyze large-scale microbial genome data efficiently and accurately has become a bottleneck in microbiologist research work. The pan-genomics concept provides biologists new ideas in systematic comparative genomic analysis from population insight. And it is becoming more and more important in lots of research fields, such as genomics evolution, genomics adaptability and pathogenic mechanisms. Many scientists have studied deeply on comparative genomics analysis methodology in many ways, but there are still lack of pipeline and algorithms to analyze the genome dynamics and plasticity efficiently from population insight. Therefore, we propose here that we will build up a new methodology to do bacteria comparative genomics information mining, which centers on pan-genomics analysis and targets at those four problems descripted above. We will design a brand new orthologous gene cluster identification algorithm specified for bacteria and integrate all reliable comparative genomics analysis methods. The bacteria multi-genomics comparative analysis software package will be developed based on this methodology, which will be a basically technical support to microbial comparative genomics analysis."	
大规模微生物组数据的稳健统计推断	11701294	数据分析与统计计算 ( A011103 )	徐铣明	讲师	南开大学	24.00万元	青年科学基金项目	2018 年 01 月 01 日 至 2020 年 12 月 31 日	微生物组；关联分析；复合似然函数；稳健统计；基因环境交互作用	Microbiome;Association Study;Composite Likelihood;Robust Statistics;Gene-environment Interaction	近年来，关于微生物组的基因测序技术快速发展，从而产生了海量新型的基因组数据，为统计学者提供了新的挑战与机遇。微生物组测序技术涉及的中间环节很多，在每一环节都有可能混入技术误差。本项目致力于通过稳健统计学和复合似然函数的理论构建适用于微生物组数据的稳健统计推断方法。我们将着重展开如下三个方面的研究：1）对微生物组数据进行统计建模和稳健回归，在分离随机误差和技术误差的基础上，自动降低少数异常值或离群点的权重，减小其对于统计推断的影响；2）对动态微生物组数据构建状态空间模型，并通过加权似然函数的方法进行稳健参数估计；3）复合似然函数相关理论及其在微生物组数据分析中的应用。本项目的研究成果将为研究微生物组与疾病以及环境之间的关系提供更加稳健和可靠的统计方法和理论支持。	"In recent years, the rapid development of sequencing technology for microbiome has produced massive new-type genomic data which provides new opportunities and challenges for statisticians. Microbiome sequencing involves a lot of intermediate steps and in each of them it is very likely to introduce some errors caused by technology itself. We focus mainly on the three topics: 1) Building statistical models for microbiome data with random errors and technical noises separated, and developing robust regression analysis method for the proposed model which will down-weight the outliers automatically and hence reduce their influence on the corresponding inference; 2) Constructing robust state-space model for analyzing dynamic microbiome data with robust parameter estimations based on weighted likelihood; 3) Theoretical study of composite likelihood and its application to microbiome data. Our work will provide more robust and reliable statistical methods and theoretical support for studying the association between microbiome and disease or environment."	
微生物提高浅层页岩气采收率的基础研究	51774257	油田化学 ( E040304 )	张凡	副教授	中国地质大学（北京）	60.00万元	面上项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	微生物采油；驱油机理；驱油效率	Microbial enhanced oil recovery;Mechanism of oil recovery;efficiency of flooding 	浅层生物甲烷气约占整个已知气藏的20%以上，浅层二次成藏是近年来提高气藏采收率新的研究方向。本项目拟采用宏基因组学方法，并结合转录组学方法，系统研究浅层页岩气藏微生物群落多样性和潜在功能。环境宏基因组学主要研究页岩气藏的微生物多样性和潜在功能，认识页岩气藏微生物种间共生和共代谢关系，进而认识页岩气藏微生物群落的发展、种内相互关系和营养竞争关系，揭示页岩气藏原位互营共生菌和产甲烷古菌组成分布及其生理生态过程的分子机制。在此基础上，模拟浅层页岩气藏原位环境条件，研究互营共生菌，铁还原菌和产甲烷菌的生长特征，以及协同作用产生物甲烷气，并分析检测页岩有机质降解的典型中间代谢产物，探索提高产生物气的各种营养需求和环境条件，为提高页岩气藏采收率提供基础资料。	"Biogenic gases account for 20% of the world wide natural gas resources. Secondary gas generation has been a hot researching field recently. The aim of the project is to reveal microbial diversity and potential functions of inhabiting microbes in shallow shale gas reservoirs based on methods related to metagenomics. Methods of metagenomics are used to reveal microbial diversity of inhabiting microbes, which provides basic data for the development of microbial communities, the relationships among species and nutrients competition. Based on the above basic researches, processes of bio-gas produced synergistically by Clostridium, Iron-reducing bacterium and Methanogenic bacteria will be simulated in labs with conditions of shallow shale gas reservoirs,and intermediates of organic matters degraded by microbes will be analyzed, which will reveal nutrient and environment factors for higher gas production and provide basic data for enhancing shale gas recovery."	
