课题	负责人	单位	金额	类型	学科代码	开始时间	具体链接
陇东黄土高原植物微生物组合联合修复石油污染土壤降解机制研究	周天林	陇东学院	40.0万元	地区科学基金项目	C0309生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=5aa3e94670a6
基于微生物组的环境污染修复耦合碳氮循环研究	Chuanwu (Wu) Xi	浙江大学	18.0万元	海外及港澳学者合作研究基金	C0105生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=73ef809429f8
Kiss1/Gpr54系统和肠道微生物组的交互作用调控GnRH节律性分泌的机制研究	李嫔	上海交通大学	57.0万元	面上项目	H0404医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=363981e708ad
我国农田土壤磷素转化的关键微生物组及其解磷机制的研究	戴中民	浙江大学	25.0万元	青年科学基金项目	D070104地球科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=71f1818629bf
揭示植物叶际及介体昆虫肠道微生物组对植物病毒侵染的影响	张莉莉	中国科学院微生物研究所	60.0万元	面上项目	C140104生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=2229e97221a8
毛乌素沙地四种典型沙生灌木根际微生物组配关系及其潜在功能解析	赖宗锐	北京林业大学	28.0万元	青年科学基金项目	C161303生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=5aa5e91797f0
根系微生物组在水稻氮肥高效利用中的功能研究	张婧赢	中国科学院遗传与发育生物学研究所	24.0万元	青年科学基金项目	C150705生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=2823e9885689
不同类型油菜根部内生微生物组与黑胫病（Leptosphaeria biglobosa)的交互作用分析	蔡翔	武汉市农业科学院	28.0万元	青年科学基金项目	C140102生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=a3ece94310de
阿兹海默症人体肠道微生物组库构建	朱厚泽	华中科技大学	21.0万元	青年科学基金项目	H0929医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=2f4a812648bb
微生物组大数据研究中辅助信息协助的高维模型变量选择	肖健	中南财经政法大学	22.0万元	青年科学基金项目	A011102数理科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=70cde9110398
服务于微生物组结构解析的2b-RAD简化基因组方法学研究	孙政	中国科学院青岛生物能源与过程研究所	25.0万元	青年科学基金项目	C0104生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=8fbce9337075
拮抗木霉菌疏水蛋白Hyd1诱导玉米抗全株病害内生微生物组学机理	陈捷	上海交通大学	60.0万元	面上项目	C140601生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=89d981494e2d
基于光、质谱分析及微生物组学技术推断死亡时间的实验研究	王振原	西安交通大学	295.0万元	重点项目	H23医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=d790e2307915
新疆地区不同动物原奶微生物组及优势种群Lactococcus遗传结构的宿主特异性研究	张艳	石河子大学	37.0万元	地区科学基金项目	C200301生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=6e7c68e395c5
未知病原严重急性呼吸道感染病人呼吸道微生物组学分析	王延群	广州医科大学	20.0万元	青年科学基金项目	H1911医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=7bd16853509a
番茄根际有益微生物组在抵御双生病毒病害中的作用机制与利用	姚香梅	中国科学院微生物研究所	21.0万元	青年科学基金项目	C140104生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=c126e02225d8
基于GPU-CPU混合并行计算的微生物组大数据索引与搜索方法学研究	苏晓泉	中国科学院青岛生物能源与过程研究所	55.0万元	面上项目	C060702生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=aa9ae03255ff
大规模微生物组数据的稳健统计推断	徐铣明	南开大学	24.0万元	青年科学基金项目	A011103数理科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=d3e7e125035c
203个水稻核心品种产量相关性状与根系微生物组的关联分析	白洋	中国科学院遗传与发育生物学研究所	60.0万元	面上项目	C150705生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=839be14065b7
基于TMA/FMO3/TMAO通路探讨肠道微生物组对脾失健运膏脂转输障碍的影响及机制	贾连群	辽宁中医药大学	57.0万元	面上项目	H2901医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=a956e14549db
精准挖掘牙周炎微生物组对糖尿病的免疫调控机制	李燕	四川大学	56.0万元	面上项目	H1405医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=6046698669a0
基于队列的母婴微生物组与妊娠结局(早产)的关系研究	郑英杰	复旦大学	55.0万元	面上项目	H2609医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=05f4e210072f
眼表微生物组的改变参与过敏性结膜炎发病机制的研究	文小凤	中山大学	20.0万元	青年科学基金项目	H1201医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=6d37e2248652
条斑紫菜病害微生物组成、结构及多样性分析	何林文	中国科学院海洋研究所	61.0万元	面上项目	D0609地球科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=0d01e2404313
海绵细胞内共生微生物组及其天然产物生物合成资源发掘	张卫	上海交通大学	180.0万元	海外及港澳学者合作研究基金	D0609地球科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=0edf689842a3
微生物组大数据整合与数据挖掘方法研究	宁康	华中科技大学	60.0万元	面上项目	C060703生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=4aac48e09589
基于微生物组学和代谢组学的青贮饲料发酵调控理论基础研究	郭旭生	兰州大学	62.0万元	面上项目	C170204生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=c58a4882084e
酸马奶微生物代谢物对犊牛肠道微生物组定植及致病菌减排作用机制的研究	敖日格乐	内蒙古农业大学	39.0万元	地区科学基金项目	C170110生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=8317485652bf
SIV感染猕猴的早期抗病毒治疗对肠道微生物组影响研究	田仁荣	中国科学院昆明动物研究所	18.0万元	青年科学基金项目	H1911医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=7f38505852c9
鲍肠道核心微生物组与共生关系研究	邵宗泽	国家海洋局第三海洋研究所	75.0万元	面上项目	D0609地球科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=6b5049190897
SPF鸡粪菌移植对肉鸡肠道菌群微生物组和抗药组的影响机制	齐静	山东省农业科学院	64.0万元	面上项目	C180701生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=81cd4883306d
肠道微生物组影响猪对碳水化合物高效利用的机制研究	王军军	中国农业大学	271.0万元	重点项目	C170105生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=129d484953a9
云南草莓属植物的微生物组生物地理特征研究	崔晓龙	云南大学	39.0万元	地区科学基金项目	C020602生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=8a24485064ef
基于多因素调控下水稻根际微生物组学研究	徐艳	浙江大学	20.0万元	青年科学基金项目	D010504地球科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=0ea5488669cb
生物正交聚糖标记在肠道微生物组研究中的应用	陈兴	北京大学	65.0万元	面上项目	B021203化学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=778048120e97
微生物组构成分析的精确方法研究	张学工	清华大学	65.0万元	面上项目	F0304信息科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=dfd8501855d2
污水生物强化除磷体系中菌群网络关系及其环境响应机理的微生物组学研究	毛艳萍	深圳大学	20.0万元	青年科学基金项目	E080402工程与材料科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=c86449432849
牙菌斑微生物组预测儿童龋病发生的机制研究	杨芳	青岛大学	25.0万元	面上项目	H1404医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=fd39509806ec
口腔微生物组结构与牙周病的关系研究	胡文杰	北京大学	57.0万元	面上项目	H2002医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=3d365109046b
代偿性与失代偿性肝硬化肠道微生物组学变化研究	秦楠	浙江大学	65.0万元	面上项目	C010503生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=f256485839e4
膀胱尿路微生物组组成及功能变化与膀胱癌相关性的研究	马迎飞	中国科学院深圳先进技术研究院	62.0万元	暂无数据	C010503生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=831a45e039a8
高通量微生物组学数据模式提取和分析	胡小华	华中师范大学	290.0万元	暂无数据	F020504信息科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=5e9f46643226
HBV肝硬化临床进展中肠道微生物组的动态规律及共代谢机制研究	邵丽	浙江大学	20.0万元	暂无数据	C050506生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=2388454e258b
芸薹根肿菌与榨菜根系微生物组生态互作研究	潘丽梅	长江师范学院	70.0万元	暂无数据	C0309生命科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=6e974561610a
基于微生态调节剂干预的人参皂苷代谢指征与肠道全微生物组关联分析（MiWAS）研究	肖水明	中国中医科学院中药研究所	18.0万元	暂无数据	H2903医学科学	201601	https://www.medsci.cn/sci/nsfc_show.do?id=d8c244e19438
结直肠癌相关肠道微生物组时空动态规律研究	耿嘉蔚	云南省第一人民医院	50.0万元	生命科学	C060501生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=0a653868980f
牦牛瘤胃微生物组的变异与牦牛高原适应	张志刚	中国科学院昆明动物研究所	90.0万元	生命科学	C060502生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=1bcf35905eed
口腔菌斑性疾病“核心微生物组”的遗传本质及致病机制	周学东	四川大学	320.0万元	医学科学	H14医学科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=ac3235e11081
肠道微生物组在转基因鲤糖代谢中的作用及调控机制研究	颜庆云	中国科学院水生生物研究所	25.0万元	生命科学	C010503生命科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=c148364358a8
稻田人工湿地系统中控制养分循环的土壤微生物组成特征与地理学格局	周集中	清华大学	360.0万元	地球科学	D010504地球科学部	201501	https://www.medsci.cn/sci/nsfc_show.do?id=1ceb35e5256a
微生物组研究方法学	周宏伟	南方医科大学	100.0万元	暂无数据	C0104生命科学	201401	https://www.medsci.cn/sci/nsfc_show.do?id=fddd40428eb2
缺铁性贫血人群口腔微生物组群及致感染性心内膜炎风险研究	王人可	四川大学	21.0万元	生命科学	C0309生命科学部	201301	https://www.medsci.cn/sci/nsfc_show.do?id=19cb23549145
牙菌斑和唾液口腔微生物组结构和功能差异与龋病的关系	杨德琴	重庆医科大学	14.0万元	医学科学	H1404医学科学部	201201	https://www.medsci.cn/sci/nsfc_show.do?id=72ea19068430
HIV感染及抗逆转录病毒治疗对口腔真菌微生物组的影响研究	段开文	昆明市延安医院	51.0万元	医学科学	H1405医学科学部	201201	https://www.medsci.cn/sci/nsfc_show.do?id=a2b6196e8890
喉鳞状细胞癌咽喉微生物组研究	石毅	复旦大学	21.0万元	医学科学	H1625医学科学部	201101	https://www.medsci.cn/sci/nsfc_show.do?id=7780130585eb
人肠道微生物组的基因预测与序列拼接方法研究	朱怀球	北京大学	32.0万元	生命科学	C0505生命科学部	201001	https://www.medsci.cn/sci/nsfc_show.do?id=324120e181b4
仔猪肠道健康营养调控的微生物组学研究	朱伟云	南京农业大学	100.0万元	生命科学	C170106生命科学部	200901	https://www.medsci.cn/sci/nsfc_show.do?id=a477816227f
仔猪肠道健康营养调控的微生物组学研究	朱伟云	南京农业大学	100.0万元	生命科学	C120104生命科学部	200901	https://www.medsci.cn/sci/nsfc_show.do?id=f1db1062562c
基于微生物组学关联分析的生物反应过程优化研究	叶邦策	华东理工大学	28.0万元	化学科学	B06化学部	200801	https://www.medsci.cn/sci/nsfc_show.do?id=001d6919212
利用变性梯度凝胶技术分析转Bt基因棉花对土壤微生物组成的影响	李世东	中国农业科学院植物保护研究所	26.0万元	生命科学	C140601生命科学部	200601	https://www.medsci.cn/sci/nsfc_show.do?id=1a943818217
零价金属和微生物组合技术处理地下水中持久性有机污染物机理研究	杨琦	中国地质大学（北京）	24.0万元	工程与材料科学	E080406工程与材料科学部	200601	https://www.medsci.cn/sci/nsfc_show.do?id=11c64e982a6
成人与儿童结核病发展的综合研究：细菌菌株和周围微生物组的影响	申阿东	首都医科大学	0.0万元	暂无数据	暂无数据	暂无数据	https://www.medsci.cn/sci/nsfc_show.do?id=9b699263e1da
精神分裂症遗传与微生物组的交互作用及其机制研究	师咏勇	上海交通大学	0.0万元	暂无数据	暂无数据	暂无数据	https://www.medsci.cn/sci/nsfc_show.do?id=8084930028a0
根系微生物组促进十字花科植物中磷元素的高效利用	周俭民	中国科学院遗传与发育生物学研究所	0.0万元	暂无数据	暂无数据	暂无数据	https://www.medsci.cn/sci/nsfc_show.do?id=b75191e938e8
东北地区室内外大气细颗粒物微生物组分来源、演化及多尺度时空暴露基础问题研究	吕阳	大连理工大学	0.0万元	暂无数据	暂无数据	暂无数据	https://www.medsci.cn/sci/nsfc_show.do?id=54f592e471e8
富营养化淡水湖泊中蓝藻-附生微生物群体的碳氮循环潜力的微生物组学研究	李涛	中国科学院水生生物研究所	0.0万元	暂无数据	暂无数据	暂无数据	https://www.medsci.cn/sci/nsfc_show.do?id=0fac92e87237
有机污染物降解微生物组的功能解析和微生物菌群3D打印技术	刘双江	中国科学院微生物研究所	0.0万元	暂无数据	暂无数据	暂无数据	https://www.medsci.cn/sci/nsfc_show.do?id=b917918016ab
